code,title,points_r1_2021,points_r1_2020,points_r1_2019
LC220,Digital Marketing,263.0,262.0,288.0
LC223,Law and Taxation,331.0,307.0,372.0
LC224,Accounting and Finance,300.0,300.0,382.0
LC225,Marketing and Management,298.0,298.0,337.0
LC226,Enterprise and Innovation,255.0,234.0,298.0
LC233,Software Development,280.0,272.0,371.0
LC234,Immersive Digital Media and Spatial Computing,226.0,225.0,288.0
LC236,Internet Systems Development,260.0,262.0,319.0
LC239,Computer Networks and Systems Management,317.0,307.0,347.0
LC241,Construction Management,326.0,255.0,303.0
LC242,Property Valuation and Management,308.0,282.0,328.0
LC243,Quantity Surveying,278.0,294.0,360.0
LC248,Built Environment (Common Entry),300.0,288.0,350.0
LC252,Civil Engineering Management,264.0,270.0,331.0
LC263,Medical Technology,391.0,294.0,359.0
LC265,Forensic and Pharmaceutical Sciences,498.0,413.0,368.0
LC266,Drug and Medicinal Product Analysis,252.0,262.0,299.0
LC275,Electrical Engineering,361.0,298.0,340.0
LC288,Mechanical Engineering,378.0,347.0,360.0
LC289,Precision Engineering,261.0,291.0,369.0
LC292,Social Care Work,374.0,367.0,389.0
LC293,Business Studies with Travel and Tourism Managemen,271.0,307.0,326.0
LC294,Business Studies with Event Management,279.0,279.0,300.0
LC295,Business Studies with Sports Management,262.0,252.0,298.0
LC297,Community and Addiction Studies,272.0,235.0,269.0
LC320,Business,381.0,346.0,378.0
LC330,Business with Computing,328.0,297.0,326.0
LC340,Interior Design,391.0,350.0,349.0
LC362,Biotechnology and Biopharmaceutical Sciences,429.0,413.0,402.0
LC371,Creative Broadcast and Film Production,325.0,309.0,339.0
LC372,Music Technology and Production,377.0,325.0,369.0
LC374,Renewable and Electrical Energy Engineering,337.0,318.0,368.0
LC375,Industrial Automation and Robotic Systems,309.0,317.0,368.0
LC376,Electronic Engineering with Computer Systems,357.0,318.0,346.0
LC380,Automotive Engineering and Transport Management,298.0,303.0,329.0
LC392,Business Studies in Beauty and Spa Management,328.0,236.0,318.0
LC393,Early Childhood Education and Care,309.0,236.0,309.0
LC402,Social Care Work,228.0,225.0,290.0
LC408,Environmental Science and Climate,279.0,279.0,346.0
LC418,Computing - Games Design and Development,260.0,270.0,318.0
LC422,Applied Strength and Conditioning,289.0,298.0,333.0
LC502,Game Art and Design (portfolio),841.0,852.0,950.0
LC517,Creative Media and Design,279.0,234.0,273.0
LC518,Digital Animation Production (portfolio),807.0,808.0,962.0
LC612,Social Care Work,309.0,320.0,338.0
LM002,Arts,,348.0,388.0
LM020,Law and Accounting,474.0,465.0,476.0
LM026,Performing Arts (audition format TBC),329.0,303.0,367.0
LM028,Criminal Justice,420.0,418.0,409.0
LM029,Law Plus,530.0,490.0,499.0
LM038,Psychology and Sociology,530.0,500.0,489.0
LM039,Journalism and Digital Communication,432.0,402.0,430.0
LM040,European Studies,409.0,369.0,462.0
LM044,Applied Languages,429.0,442.0,473.0
LM050,Business Studies (options),451.0,431.0,455.0
LM056,International Business,,528.0,543.0
LM058,Financial Mathematics,468.0,403.0,543.0
LM063,Technology Management,410.0,379.0,409.0
LM068,Food Science and Health,,421.0,430.0
LM076,Product Design and Technology (portfolio required),401.0,408.0,466.0
LM077,Aeronautical Engineering,567.0,520.0,531.0
LM082,Construction Management and Engineering,,398.0,404.0
LM089,Sport and Exercise Sciences,,474.0,466.0
LM090,Physical Education with concurrent Teacher Educati,552.0,532.0,520.0
LM092,Science with Teacher Ed (Biology with Physics/Chem,521.0,507.0,509.0
LM093,Equine Science,367.0,339.0,381.0
LM094,Materials and Architectural Technology with concur,475.0,440.0,433.0
LM095,Materials and Engineering Technology with concurre,425.0,367.0,409.0
LM096,Science with Teacher Ed (Physical Sciences with Ch,454.0,405.0,422.0
LM099,Architecture,520.0,498.0,473.0
LM100,Physiotherapy,,589.0,577.0
LM101,Medicine  - Graduate Entry (GAMSAT required),,55.0,57.0
LM102,Psychology,534.0,509.0,519.0
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429.0,392.0,403.0
LM115,Chemical and Biochemical Engineering,476.0,454.0,520.0
LM116,Engineering (Biomedical/Civil/Design and Manufactu,,476.0,498.0
LM118,Electronic and Computer Engineering,445.0,403.0,498.0
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402.0,351.0,420.0
LM122,Creative Media and Interaction Design (Digital Des,382.0,327.0,430.0
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,,441.0,455.0
LM124,Mathematics (Math Science/Maths and Physics/Econom,455.0,437.0,521.0
LM125,Physics (Applied Physics or Mathematics and Physic,489.0,404.0,509.0
LM150,General Nursing,,475.0,463.0
LM152,Mental Health Nursing,478.0,419.0,418.0
LM154,Intellectual Disability Nursing,462.0,420.0,408.0
LM156,Midwifery,,469.0,444.0
MU001,Theology and Arts,294.0,290.0,318.0
MH001,Education - Primary Teaching (Froebel),564.0,507.0,520.0
MH101,Arts,338.0,318.0,369.0
MH103,Music,,,367.0
MH106,Psychology - 3 years,554.0,521.0,499.0
MH107,Social Science,390.0,346.0,349.0
MH109,Media Studies,324.0,316.0,377.0
MH116,Community and Youth Work (Full-Time),,,271.0
MH201,Science,401.0,360.0,392.0
MH202,Biotechnology,490.0,455.0,446.0
MH204,Physics with Astrophysics,422.0,422.0,488.0
MH206,Theoretical Physics and Mathematics,521.0,510.0,566.0
MH207,Data Science,444.0,445.0,466.0
MH208,Biological and Biomedical Sciences,543.0,498.0,476.0
MH209,Psychology (through Science) - 4 years,529.0,498.0,485.0
MH210,Pharmaceutical and Biomedical Chemistry,510.0,487.0,466.0
MH212,Science|Maths and Computer Science|Mathematics (wi,452.0,422.0,476.0
MH304,Engineering (Computer/Electronic/Communications),351.0,333.0,423.0
MH305,Product Design,326.0,357.0,411.0
MH306,Robotics and Intelligent Devices,362.0,361.0,424.0
MH401,Finance (options),370.0,357.0,392.0
MH402,Quantitative Finance,476.0,476.0,487.0
MH403,Accounting and Finance,424.0,422.0,432.0
MH404,Business (options),441.0,430.0,429.0
MH407,Business and Accounting,423.0,420.0,420.0
MH411,Entrepreneurship,378.0,371.0,388.0
MH501,LLB Law - four year Single Major Law programme,507.0,473.0,476.0
MH502,Law (options),465.0,451.0,442.0
MH601,Computer Science through Arts (options),381.0,352.0,369.0
MH602,Computer Science through Science (options),400.0,351.0,413.0
MH603,Computational Thinking,520.0,532.0,543.0
MH801,Early Childhood - Teaching and Learning (part-time,,327.0,358.0
AS001,Education  Home Economics and Biology - with concu,542.0,510.0,497.0
AS002,Education  Home Economics and Religious Ed - with,464.0,441.0,433.0
AS003,Education  Home Economics and Irish - with concurr,,440.0,457.0
AS051,Nutrition  Food and Business Management,378.0,328.0,399.0
AS054,Home Economics,,408.0,401.0
AS110,General Nursing,,419.0,409.0
AS130,Intellectual Disability Nursing,387.0,336.0,338.0
SG141,Business,262.0,261.0,317.0
SG146,Accounting,304.0,309.0,347.0
SG147,Sport with Business,288.0,307.0,316.0
SG148,Tourism with Event Management,298.0,269.0,282.0
SG241,Performing Arts,341.0,328.0,348.0
SG242,Early Childhood Care and Education,287.0,279.0,318.0
SG243,Social Care Practice,309.0,301.0,338.0
SG244,Fine Art,501.0,505.0,496.0
SG245,Creative Design,332.0,282.0,338.0
SG246,Computing,316.0,290.0,368.0
SG247,English and Psychology,319.0,309.0,336.0
SG248,Sociology and Politics,298.0,281.0,320.0
SG249,Writing and Literature,308.0,297.0,338.0
SG252,Software Development,310.0,307.0,354.0
SG253,Computing in Computer Networks and Cyber Security,336.0,324.0,341.0
SG343,Quantity Surveying,300.0,311.0,302.0
SG346,Construction Project Management and Applied Techno,313.0,291.0,351.0
SG347,Architecture,403.0,360.0,357.0
SG442,Occupational Safety and Health,307.0,290.0,330.0
SG443,Human Nutrition,376.0,356.0,419.0
SG444,Science Undenominated,358.0,338.0,369.0
SG445,Pharmaceutical Science with Drug Development,357.0,311.0,369.0
SG447,Health Science and Physical Activity,326.0,328.0,363.0
SG448,Forensic Investigation and Analysis,308.0,306.0,348.0
SG449,Medical Biotechnology,315.0,341.0,352.0
TL801,Animation  Visual Effects and Motion Design (Level,718.0,281.0,341.0
TL802,TV  Radio and New Media (Level 8),322.0,325.0,356.0
TL810,Computing with Software Development,308.0,310.0,341.0
TL811,Computing with Games Development,322.0,358.0,334.0
TL815,Computing (Degree Award options),307.0,308.0,378.0
TL823,Event Management (3 year programme),293.0,299.0,346.0
TL831,Business Studies (Major Specialism in: Acctng or M,306.0,306.0,372.0
TL844,Agricultural Engineering,301.0,300.0,368.0
TL845,Civil Engineering,361.0,325.0,364.0
TL848,Agricultural Science,307.0,308.0,362.0
TL851,Wildlife Biology (Degree Award options),309.0,309.0,362.0
TL855,Pharmaceutical Science (Degree Award options),316.0,317.0,386.0
TL858,Veterinary Bioscience,317.0,308.0,369.0
TL871,Health and Leisure (Degree Award options),303.0,300.0,346.0
TL872,Health and Leisure with Massage,314.0,309.0,357.0
TL873,Coaching and Sports Performance,308.0,289.0,336.0
TL880,Early Childhood Care and Education,309.0,307.0,347.0
TL881,Social Care,301.0,308.0,356.0
TL890,General Nursing and Mature Applicants,463.0,440.0,431.0
TL891,Mental Health Nursing and Mature Applicants,440.0,389.0,379.0
WD001,Applied Computing (options),270.0,260.0,358.0
WD002,Science (options),279.0,308.0,377.0
WD005,Health Sciences (options),271.0,280.0,347.0
WD006,Exercise Sciences (options),270.0,280.0,337.0
WD007,Engineering (options),270.0,288.0,382.0
WD025,Construction Management and Engineering,262.0,269.0,327.0
WD027,Music,321.0,262.0,317.0
WD048,Business (options),279.0,271.0,357.0
WD084,Accounting,308.0,308.0,403.0
WD091,Hospitality Management,225.0,228.0,281.0
WD116,General Nursing,446.0,422.0,430.0
WD117,Psychiatric Nursing,415.0,366.0,382.0
WD120,Intellectual Disability Nursing,390.0,377.0,359.0
WD134,International Business,267.0,290.0,350.0
WD137,Design (Visual Communications),252.0,271.0,373.0
WD140,Laws,280.0,280.0,352.0
WD144,Architecture,309.0,284.0,385.0
WD147,Pharmaceutical Science,288.0,293.0,363.0
WD150,Criminal Justice Studies,280.0,270.0,311.0
WD152,Visual Art,243.0,,323.0
WD161,Computer Forensics and Security,270.0,255.0,401.0
WD162,Quantity Surveying,226.0,216.0,320.0
WD163,Psychology,456.0,434.0,429.0
WD186,Sports Coaching and Performance,261.0,270.0,327.0
WD187,Social Science,276.0,272.0,321.0
WD191,Agricultural Science,377.0,377.0,421.0
WD192,Social Care Practice,271.0,270.0,323.0
WD193,Marketing and Digital Media,279.0,271.0,358.0
WD194,Culinary Arts,237.0,217.0,331.0
WD195,Architectural and Building Information Modelling T,279.0,279.0,305.0
WD200,Arts (options),201.0,,296.0
WD210,Software Systems Development,260.0,279.0,329.0
WD211,Creative Computing,270.0,271.0,322.0
WD212,Recreation and Sport Management,262.0,270.0,311.0
WD230,Mechanical and Manufacturing Engineering,230.0,253.0,348.0
