code,title,points_r1_2021,points_r1_2020,points_r1_2019
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,466.0,466.0
CK122,Government and Political Science,399.0,337.0,410.0
CK201,Commerce,500.0,477.0,489.0
CK202,Accounting,553.0,509.0,506.0
CK203,Business Information Systems,455.0,430.0,444.0
CK204,Finance,,556.0,555.0
CK205,Commerce (International) with French,465.0,445.0,473.0
CK206,Commerce (International) with German,466.0,420.0,446.0
CK207,Commerce (International) with Italian,423.0,388.0,425.0
CK208,Commerce (International) with Hispanic Studies,488.0,402.0,455.0
CK209,Commerce (International) with Irish,507.0,484.0,528.0
CK211,Commerce (International) with Chinese Studies,385.0,397.0,420.0
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0,429.0
CK301,Law (Pathways) -  3 or 4 years,533.0,507.0,519.0
CK302,Law and French,545.0,542.0,531.0
CK304,Law and Irish,588.0,540.0,510.0
CK307,Law and Business,,556.0,554.0
CK401,Computer Science,503.0,468.0,456.0
CK402,Biological and Chemical Sciences,,510.0,520.0
CK404,Biological  Earth and Environmental Sciences,500.0,467.0,451.0
CK405,Genetics,543.0,487.0,496.0
CK406,Chemical Sciences,532.0,485.0,488.0
CK407,Mathematical Sciences,566.0,566.0,578.0
CK408,Physics and Astrophysics,566.0,554.0,566.0
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0,532.0
CK411,Data Science and Analytics,531.0,510.0,542.0
CK412,Agricultural Science,506.0,496.0,509.0
CK504,Nutritional Sciences,555.0,518.0,509.0
CK505,Food Science,463.0,441.0,477.0
CK600,Engineering,510.0,487.0,532.0
CK606,Architecture - Offered jointly by UCC and CIT,543.0,484.0,496.0
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,731.0,740.0
CK702,Dentistry,,613.0,613.0
CK703,Pharmacy,,590.0,589.0
CK704,Occupational Therapy,,566.0,554.0
CK705,Speech and Language Therapy,568.0,520.0,529.0
CK706,Public Health Sciences,500.0,454.0,451.0
CK707,Medical and Health Sciences,,542.0,543.0
CK710,General Nursing,,454.0,466.0
CK712,Children`s and General Nursing (Integrated),565.0,533.0,520.0
CK720,Mental Health Nursing,455.0,423.0,429.0
CK730,Intellectual Disability Nursing,431.0,419.0,388.0
CK740,Midwifery,,484.0,474.0
CK791,Medicine  - Graduate Entry (GAMSAT required),,57.0,59.0
AC120,International Business,294.0,209.0,269.0
AC137,Liberal Arts,271.0,252.0,275.0
CT125,Computing and IT,242.0,220.0,280.0
CM001,Education - Primary Teaching,508.0,484.0,462.0
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,528.0,506.0
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,494.0,569.0
CM010,Education Studies,382.0,319.0,373.0
CM020,Early Childhood Education,317.0,327.0,363.0
DB500,Computing,234.0,218.0,320.0
DB502,Computing (Data Analytics and Big Data),267.0,341.0,269.0
DB510,Audio Production and Music Project Management,217.0,234.0,293.0
DB512,Business Studies,243.0,218.0,301.0
DB514,Business Studies (Law),239.0,252.0,337.0
DB515,Business Studies (Human Resource Management),242.0,244.0,288.0
DB517,Marketing (Event Management),233.0,238.0,327.0
DB521,Accounting and Finance,243.0,225.0,271.0
DB524,Business (Information Systems),247.0,342.0,402.0
DB526,Business (Cloud Computing),244.0,347.0,288.0
